HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,3,2001,0,1386,2001,2,3,1348,0,1300,0,12,576,0.17,2020.49,276000
4,3,1976,0,1267,1976,2,3,671,100,0,0,8,576,0.24,2020.97,216000
4,3,1984,0,1786,1984,2,3,964,0,800,1,14,576,0.27,2021.60,350000
4,4,2004,0,2330,2004,3,2,2330,0,1650,1,17,568,0.5,2020.38,444000
4,3,2006,0,1668,2006,2,3,1668,0,1500,1,14,560,0.27,2021.76,330000
4,4,1993,0,2440,1993,2,3,2440,0,1750,1,16,544,0.35,2020.38,647500
4,4,2003,0,2126,2003,3,1,2111,0,1700,2,14,544,0.25,2019.62,424000
4,4,2005,0,3488,2005,3,4,1943,0,1400,2,22,544,0.6,2021.69,825000
4,3,2006,0,2688,2006,3,3,1421,0,950,1,16,544,0.19,2016.66,400000
4,3,2021,0,2509,2021,3,5,1226,0,700,0,17,544,0.25,2022.61,695584
4,3,1990,0,2112,1990,2,3,1056,0,0,1,11,544,0.2,2020.88,320000
4,3,1997,0,1748,1997,2,3,1697,0,900,1,13,544,0.31,2016.56,302777.7778
5,3,1966,0,1776,1966,2,3,936,0,900,1,10,540,0.24,2022.65,435000
5,3,1974,0,1054,1974,2,3,744,0,700,1,8,535,0.14,2019.80,175000
5,3,1974,0,1054,1974,2,3,744,0,700,1,8,535,0.14,2021.33,259900
3,3,1966,0,1400,1966,2,2,1400,0,1300,0,13,528,0.24,2017.85,185000
4,4,1990,0,1847,1990,2,3,1214,0,1000,1,16,527,0.31,2019.88,285000
4,4,1990,0,1847,1990,2,3,1214,0,1000,1,16,527,0.31,2021.55,375000
4,3,2021,0,2000,2021,3,2,2000,0,1250,2,14,527,0.23,2022.23,564900
4,4,2006,0,2023,2006,2,1,1981,0,1300,2,15,526,0.26,2016.40,352727.2727
4,3,1974,0,1200,1974,4,3,1200,1200,0,1,10,512,0.9,2019.89,192230.7692
5,4,1952,0,2218,1952,2,2,1502,0,1200,3,12,512,0.68,2019.50,420000
4,4,1986,0,4094,1986,3,5,1951,0,800,2,20,512,0.42,2016.79,465000
4,4,1977,0,3178,1977,2,4,1144,0,900,2,20,512,0.33,2020.76,550000
4,3,2020,0,2198,2020,4,2,2198,0,1800,0,16,512,0.3,2021.23,450000
4,4,2005,0,2830,2005,3,1,2830,0,2000,2,21,512,0.51,2022.27,1060000
4,3,1979,0,2061,1979,3,3,1251,0,750,1,10,512,1,2017.78,387777.7778
5,4,1900,0,3098,1900,5,3,1882,0,0,1,13,512,0.39,2019.43,265384.6154
5,3,1964,0,1312,1964,1,3,1025,0,900,1,8,512,0.22,2016.84,182500
3,3,1965,0,2473,1965,2,4,2145,0,500,2,10,512,0.42,2018.23,250000
4,3,1976,0,1678,1976,2,4,400,0,150,1,11,512,0.13,2019.94,194166.6667
4,3,1973,0,1529,1973,2,3,665,0,500,1,9,512,0.29,2017.47,199900
4,3,1973,0,1529,1973,2,3,665,0,500,1,9,512,0.29,2021.64,250000
4,3,1996,5,1834,1980,3,3,1051,0,950,1,14,512,0.34,2021.91,400000
5,3,1978,0,1966,1978,2,3,1115,0,700,1,14,512,0.22,2016.69,297132
4,2,1955,0,816,1955,1,2,816,0,600,0,8,512,0.17,2020.72,157500
3,3,1965,0,840,1965,1,3,840,200,450,0,8,512,0.23,2017.92,100200
